============================================================
NETWORK PORT SCAN REPORT
============================================================

Scan Date : 2026-07-07 10:57:27.501217

TARGET INFORMATION
------------------------------------------------------------
Target IP   : 10.214.101.248
Hostname    : ORG-DKMNU-COMPNY-DESKTOP-7BHHFD
Port Range  : 130 - 14000
Duration    : 140.86 seconds

SCAN SUMMARY
------------------------------------------------------------
Open Ports     : 6
Closed Ports   : 13865
Filtered Ports : 0
Total Scanned  : 13871

OPEN PORTS
------------------------------------------------------------
Port 424 --> Unknown Service --> CLOSED
Port 425 --> Unknown Service --> CLOSED
Port 426 --> Unknown Service --> CLOSED
Port 427 --> Unknown Service --> CLOSED
Port 428 --> Unknown Service --> CLOSED
Port 429 --> Unknown Service --> CLOSED
Port 430 --> Unknown Service --> CLOSED
Port 431 --> Unknown Service --> CLOSED
Port 432 --> Unknown Service --> CLOSED
Port 433 --> Unknown Service --> CLOSED
Port 434 --> Unknown Service --> CLOSED
Port 435 --> Unknown Service --> CLOSED
Port 436 --> Unknown Service --> CLOSED
Port 437 --> Unknown Service --> CLOSED
Port 438 --> Unknown Service --> CLOSED
Port 439 --> Unknown Service --> CLOSED
Port 440 --> Unknown Service --> CLOSED
Port 441 --> Unknown Service --> CLOSED
Port 442 --> Unknown Service --> CLOSED
Port 443 --> HTTPS --> CLOSED
Port 444 --> Unknown Service --> CLOSED
Port 445 --> SMB --> OPEN
Port 446 --> Unknown Service --> CLOSED
Port 447 --> Unknown Service --> CLOSED
Port 448 --> Unknown Service --> CLOSED
Port 449 --> Unknown Service --> CLOSED
Port 450 --> Unknown Service --> CLOSED
Port 451 --> Unknown Service --> CLOSED
Port 452 --> Unknown Service --> CLOSED
Port 453 --> Unknown Service --> CLOSED
Port 454 --> Unknown Service --> CLOSED
Port 455 --> Unknown Service --> CLOSED
Port 456 --> Unknown Service --> CLOSED
Port 457 --> Unknown Service --> CLOSED
Port 458 --> Unknown Service --> CLOSED
Port 459 --> Unknown Service --> CLOSED
Port 460 --> Unknown Service --> CLOSED
Port 461 --> Unknown Service --> CLOSED
Port 462 --> Unknown Service --> CLOSED
Port 463 --> Unknown Service --> CLOSED
Port 464 --> Unknown Service --> CLOSED
Port 465 --> SMTPS --> CLOSED
Port 466 --> Unknown Service --> CLOSED
Port 467 --> Unknown Service --> CLOSED
Port 468 --> Unknown Service --> CLOSED
Port 469 --> Unknown Service --> CLOSED
Port 470 --> Unknown Service --> CLOSED
Port 471 --> Unknown Service --> CLOSED
Port 472 --> Unknown Service --> CLOSED
Port 473 --> Unknown Service --> CLOSED
Port 474 --> Unknown Service --> CLOSED
Port 475 --> Unknown Service --> CLOSED
Port 476 --> Unknown Service --> CLOSED
Port 477 --> Unknown Service --> CLOSED
Port 478 --> Unknown Service --> CLOSED
Port 479 --> Unknown Service --> CLOSED
Port 480 --> Unknown Service --> CLOSED
Port 481 --> Unknown Service --> CLOSED
Port 482 --> Unknown Service --> CLOSED
Port 483 --> Unknown Service --> CLOSED
Port 484 --> Unknown Service --> CLOSED
Port 485 --> Unknown Service --> CLOSED
Port 486 --> Unknown Service --> CLOSED
Port 487 --> Unknown Service --> CLOSED
Port 488 --> Unknown Service --> CLOSED
Port 489 --> Unknown Service --> CLOSED
Port 490 --> Unknown Service --> CLOSED
Port 491 --> Unknown Service --> CLOSED
Port 492 --> Unknown Service --> CLOSED
Port 493 --> Unknown Service --> CLOSED
Port 494 --> Unknown Service --> CLOSED
Port 495 --> Unknown Service --> CLOSED
Port 496 --> Unknown Service --> CLOSED
Port 497 --> Unknown Service --> CLOSED
Port 498 --> Unknown Service --> CLOSED
Port 499 --> Unknown Service --> CLOSED
Port 500 --> Unknown Service --> CLOSED
Port 501 --> Unknown Service --> CLOSED
Port 502 --> Unknown Service --> CLOSED
Port 503 --> Unknown Service --> CLOSED
Port 504 --> Unknown Service --> CLOSED
Port 505 --> Unknown Service --> CLOSED
Port 506 --> Unknown Service --> CLOSED
Port 507 --> Unknown Service --> CLOSED
Port 508 --> Unknown Service --> CLOSED
Port 509 --> Unknown Service --> CLOSED
Port 510 --> Unknown Service --> CLOSED
Port 511 --> Unknown Service --> CLOSED
Port 512 --> Unknown Service --> CLOSED
Port 513 --> Unknown Service --> CLOSED
Port 514 --> Syslog --> CLOSED
Port 515 --> Unknown Service --> CLOSED
Port 516 --> Unknown Service --> CLOSED
Port 517 --> Unknown Service --> CLOSED
Port 518 --> Unknown Service --> CLOSED
Port 519 --> Unknown Service --> CLOSED
Port 520 --> Unknown Service --> CLOSED
Port 521 --> Unknown Service --> CLOSED
Port 522 --> Unknown Service --> CLOSED
Port 523 --> Unknown Service --> CLOSED
Port 524 --> Unknown Service --> CLOSED
Port 525 --> Unknown Service --> CLOSED
Port 526 --> Unknown Service --> CLOSED
Port 527 --> Unknown Service --> CLOSED
Port 528 --> Unknown Service --> CLOSED
Port 529 --> Unknown Service --> CLOSED
Port 530 --> Unknown Service --> CLOSED
Port 531 --> Unknown Service --> CLOSED
Port 532 --> Unknown Service --> CLOSED
Port 533 --> Unknown Service --> CLOSED
Port 534 --> Unknown Service --> CLOSED
Port 535 --> Unknown Service --> CLOSED
Port 536 --> Unknown Service --> CLOSED
Port 537 --> Unknown Service --> CLOSED
Port 538 --> Unknown Service --> CLOSED
Port 539 --> Unknown Service --> CLOSED
Port 540 --> Unknown Service --> CLOSED
Port 541 --> Unknown Service --> CLOSED
Port 542 --> Unknown Service --> CLOSED
Port 543 --> Unknown Service --> CLOSED
Port 544 --> Unknown Service --> CLOSED
Port 545 --> Unknown Service --> CLOSED
Port 546 --> Unknown Service --> CLOSED
Port 547 --> Unknown Service --> CLOSED
Port 548 --> Unknown Service --> CLOSED
Port 549 --> Unknown Service --> CLOSED
Port 550 --> Unknown Service --> CLOSED
Port 551 --> Unknown Service --> CLOSED
Port 552 --> Unknown Service --> CLOSED
Port 553 --> Unknown Service --> CLOSED
Port 554 --> Unknown Service --> CLOSED
Port 555 --> Unknown Service --> CLOSED
Port 556 --> Unknown Service --> CLOSED
Port 557 --> Unknown Service --> CLOSED
Port 558 --> Unknown Service --> CLOSED
Port 559 --> Unknown Service --> CLOSED
Port 560 --> Unknown Service --> CLOSED
Port 561 --> Unknown Service --> CLOSED
Port 562 --> Unknown Service --> CLOSED
Port 563 --> Unknown Service --> CLOSED
Port 564 --> Unknown Service --> CLOSED
Port 565 --> Unknown Service --> CLOSED
Port 566 --> Unknown Service --> CLOSED
Port 567 --> Unknown Service --> CLOSED
Port 568 --> Unknown Service --> CLOSED
Port 569 --> Unknown Service --> CLOSED
Port 570 --> Unknown Service --> CLOSED
Port 571 --> Unknown Service --> CLOSED
Port 572 --> Unknown Service --> CLOSED
Port 573 --> Unknown Service --> CLOSED
Port 574 --> Unknown Service --> CLOSED
Port 575 --> Unknown Service --> CLOSED
